symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
NFLX,"Netflix, Inc.",322313291771,Communication Services,Entertainment,1.261,754.0233,0,1161243,NASDAQ Global Select,NASDAQ,US,False,False,True
DIS,The Walt Disney Company,173252252700,Communication Services,Entertainment,1.401,95.53,0.75,4764971,New York Stock Exchange,NYSE,US,False,False,True
UMG.AS,Universal Music Group N.V.,42817944972,Communication Services,Entertainment,0.857,23.41,0.51,1353278,Amsterdam,EURONEXT,NL,False,False,True
LYV,"Live Nation Entertainment, Inc.",26965748520,Communication Services,Entertainment,1.347,117.08,0,1435735,New York Stock Exchange,NYSE,US,False,False,True
FWONK,Formula One Group,22761500269,Communication Services,Entertainment,1.112,80.8,0,627853,NASDAQ Global Select,NASDAQ,US,False,False,True
VIAC,Paramount Global,19428734861,Communication Services,Entertainment,1.476379,29.58,11.649999999999999,87513978,NASDAQ Global Select,NASDAQ,US,False,False,False
WBD,"Warner Bros. Discovery, Inc.",19039081150,Communication Services,Entertainment,1.487,7.765,0,16277533,NASDAQ Global Select,NASDAQ,US,False,False,True
FOX,Fox Corporation,18549674900,Communication Services,Entertainment,0.771,38.96,0.54,371717,NASDAQ Global Select,NASDAQ,US,False,False,True
FOXA,Fox Corporation,18483384710,Communication Services,Entertainment,0.771,42.055,0.54,1493060,NASDAQ Global Select,NASDAQ,US,False,False,True
WMG,Warner Music Group Corp.,16601896975,Communication Services,Entertainment,1.375,32.055,0.72,370380,NASDAQ Global Select,NASDAQ,US,False,False,True
ENB.TO,Enbridge Inc.,122719391200,Energy,Oil & Gas Midstream,0.904,56.36,3.66,1209031,Toronto Stock Exchange,TSX,CA,False,False,True
EP-PC,El Paso Energy Capital Trust I PFD CV TR SECS,106974465000,Energy,Oil & Gas Midstream,0,48.165,1.1875,194,New York Stock Exchange,NYSE,,False,True,True
ENB,Enbridge Inc.,88370590700,Energy,Oil & Gas Midstream,0.904,40.585,2.71,1720340,New York Stock Exchange,NYSE,CA,False,False,True
TRP.TO,TC Energy Corporation,67001104200,Energy,Oil & Gas Midstream,0.819,64.58,3.84,1128653,Toronto Stock Exchange,TSX,CA,False,False,True
WMB,"The Williams Companies, Inc.",64066960800,Energy,Oil & Gas Midstream,1.077,52.56,1.9,3216186,New York Stock Exchange,NYSE,US,False,False,True
EPD,Enterprise Products Partners L.P.,63633196000,Energy,Oil & Gas Midstream,1.009,29.32,2.1,3767922,New York Stock Exchange,NYSE,US,False,False,True
ET,Energy Transfer LP,56514363997,Energy,Oil & Gas Midstream,1.645,16.5139,1.29,7425093,New York Stock Exchange,NYSE,US,False,False,True
OKE,"ONEOK, Inc.",56333937300,Energy,Oil & Gas Midstream,1.631,96.45,3.96,2421548,New York Stock Exchange,NYSE,US,False,False,True
KMI,"Kinder Morgan, Inc.",55174429400,Energy,Oil & Gas Midstream,0.921,24.835,1.15,8819949,New York Stock Exchange,NYSE,US,False,False,True
TRP,TC Energy Corporation,48222535200,Energy,Oil & Gas Midstream,0.819,46.48,2.85,1291609,New York Stock Exchange,NYSE,CA,False,False,True
NVDA,NVIDIA Corporation,3416310271000,Technology,Semiconductors,1.669,139.2707,0.04,135633451,NASDAQ Global Select,NASDAQ,US,False,False,True
TSM,Taiwan Semiconductor Manufacturing Company Limited,835561988163,Technology,Semiconductors,1.268,194.2,2.47,7571350,New York Stock Exchange,NYSE,TW,False,False,True
AVGO,Broadcom Inc.,824404075800,Technology,Semiconductors,1.184,176.51,2.12,9413716,NASDAQ Global Select,NASDAQ,US,False,False,True
